#  GBr_GRr          G           Gapp
     2.47654      9.86962      15.5312 
     1.01633      5.42755      11.0891 
      2.2008      11.7029      17.3645 
     3.10395      12.3035       17.965 
    0.505492      2.87861       8.5402 
      1.2758      8.49767      14.1593 
     2.80919      10.8817      16.5433 
     2.63113      10.0318      15.6934 
     3.08437      11.5394       17.201 
    0.703665      3.92902      9.59061 
     2.95463      10.5842      16.2458 
     2.95133      10.8372      16.4987 
     2.96223      10.8442      16.5058 
     2.69099      9.89375      15.5553 
     2.92924      10.9026      16.5642 
     3.16689      11.5078      17.1694 
     1.70625      6.86579      12.5274 
     3.28356       12.434      18.0956 
      1.8462      7.88348      13.5451 
      1.4733      7.05902      12.7206 
     2.34093      9.09308      14.7547 
     1.27717      6.54263      12.2042 
     2.05664       8.4628      14.1244 
     2.62108      9.77676      15.4383 
        2.49      14.7628      20.4244 
     1.31801      6.61056      12.2721 
     3.53273      12.4805      18.1421 
      3.3338      12.3779      18.0395 
     2.05156      8.53318      14.1948 
     3.27332      11.9659      17.6275 
     2.62321       9.8263      15.4879 
     1.85253      7.90426      13.5659 
      3.4681      12.6934       18.355 
     3.03512      10.9543      16.6159 
     3.41118      12.6636      18.3252 
     1.74193      7.84599      13.5076 
     2.32999      8.42507      14.0867 
     2.58526      9.76043       15.422 
     1.61296      7.45042       13.112 
     2.71503      10.0105      15.6721 
     3.65386      12.3838      18.0454 
     2.84873      10.4302      16.0918 
     2.74799      10.3332      15.9948 
     3.14472      11.6256      17.2872 
     3.02271      10.9295      16.5911 
     2.50755      10.1152      15.7767 
     1.34996       6.6593      12.3209 
     3.26955      12.1427      17.8043 
      3.3302      12.3596      18.0212 
  -0.0441728      0.48376      6.14535 
     3.19026      11.8876      17.5492 
    0.760711      4.25998      9.92157 
     2.03498      8.43435      14.0959 
     3.23803      11.4535      17.1151 
     1.58279      7.37497      13.0366 
     1.75269      7.82349      13.4851 
     2.93368      11.0814       16.743 
     2.95765      11.0194       16.681 
     2.97315      10.9581      16.6197 
       3.106      11.5962      17.2578 
     1.48416       7.1314       12.793 
     2.94871      10.8414       16.503 
     2.97431      10.0128      15.6744 
     2.96799      10.9072      16.5688 
     3.29753      12.0856      17.7472 
     1.24594      6.43437       12.096 
     3.11365      11.1685      16.8301 
     2.78737      10.1526      15.8142 
     3.12838      11.1383      16.7999 
    0.785573      4.49509      10.1567 
     3.07511      11.4292      17.0908 
