# WOCS    Vmag     BmV     VmR     VmI    Vmag1   BmV1    Vmag2   BmV2    Vmag3   BmV3    Jmag    JmKs    A74  S72     _RA        _DE   
023006  15.082   1.014   0.553   1.111  15.094   1.035  15.103   1.051  15.111   1.039  13.204   0.603   631  999  295.27725  +40.16639
024006  15.122   0.664   0.382   0.789  15.151   0.667  15.143   0.671  15.191   0.660  13.828   0.324   737  999  295.32975  +40.14761
026006  15.158   0.652   0.388   0.772  15.185   0.652  15.171   0.653  99.999  99.999  13.832   0.324   739  999  295.32658  +40.15356
028006  15.182   0.602   0.321   0.702  15.226   0.594  15.231   0.591  15.247   0.598  14.015   0.367   421  999  295.26796  +40.19186
029006  15.210   0.615   0.332   0.733  15.230   0.608  15.242   0.613  15.262   0.613  13.942   0.309   147  999  295.29896  +40.23878
030006  15.231   0.642   0.378   0.766  15.236   0.658  15.240   0.656  15.271   0.636  13.927   0.366   158  999  295.35762  +40.23567
031006  15.273   0.595   0.341   0.724  15.258   0.598  15.249   0.608  15.294   0.590  14.005   0.399   155  999  295.35029  +40.23706
032006  15.257   0.614   0.310   0.720  15.298   0.581  15.273   0.594  15.321   0.590  14.032   0.253   589  999  295.36912  +40.16408
033006  15.320   0.583   0.327   0.689  15.341   0.583  15.348   0.572  15.357   0.586  14.098   0.373  9999  999  295.26204  +40.17892
037006  15.460   0.629   0.335   0.722  15.485   0.597  15.457   0.613  15.510   0.596  14.269   0.411   586  999  295.37300  +40.16631
040006  15.505   0.580   0.340   0.710  15.517   0.595  15.519   0.586  15.551   0.584  14.260   0.406   148  999  295.30204  +40.24011
042006  15.589   0.636   0.358   0.773  15.599   0.637  15.613   0.648  99.999  99.999  14.333   0.404   224  999  295.27375  +40.22153
045006  15.622   0.562   0.327   0.733  15.637   0.561  99.999  99.999  15.666   0.550  14.117   0.610  9999  999  295.25862  +40.19983
046006  15.619   0.617   0.311   0.734  15.638   0.600  15.636   0.597  15.660   0.604  14.333   0.223   375  999  295.38346  +40.19706
047006  15.651   0.597   0.323   0.708  15.667   0.596  15.675   0.610  15.700   0.591  14.453   0.246   190  999  295.28833  +40.23311
048006  15.708   0.687   0.368   0.811  15.729   0.674  15.717   0.679  15.767   0.659  14.373   0.387   359  999  295.37592  +40.20939
054006  15.883   0.635   0.378   0.810  15.899   0.642  15.910   0.650  15.927   0.643  14.516   0.201   749  999  295.28842  +40.15386
